typeOfChannel,delta,channelCoefficients,noiseVariance,SNR (dB),BPSKProbError,QAM4ProbError
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.930000,0.315171, 0.958000,1.000000
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.927500,0.326861, 0.964125,1.000000
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.925000,0.338583, 0.968375,1.000000
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.922500,0.350336, 0.963375,1.000000
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.920000,0.362122, 0.969125,1.000000
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.917500,0.373939, 0.968000,1.000000
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.915000,0.385789, 0.958750,1.000000
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.912500,0.397671, 0.964375,1.000000
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.910000,0.409586, 0.970750,1.000000
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.907500,0.421534, 0.957250,1.000000
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.905000,0.433514, 0.965000,1.000000
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.902500,0.445528, 0.953875,1.000000
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.900000,0.457575, 0.964000,1.000000
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.897500,0.469655, 0.963500,1.000000
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.895000,0.481770, 0.951375,1.000000
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.892500,0.493918, 0.951125,1.000000
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.890000,0.506100, 0.955500,1.000000
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.887500,0.518316, 0.965750,1.000000
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.885000,0.530567, 0.961750,1.000000
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.882500,0.542853, 0.954375,1.000000
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.880000,0.555173, 0.963875,1.000000
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.877500,0.567529, 0.952750,1.000000
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.875000,0.579919, 0.955125,1.000000
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.872500,0.592346, 0.950875,1.000000
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.870000,0.604807, 0.958375,1.000000
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.867500,0.617305, 0.961000,1.000000
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.865000,0.629839, 0.952000,1.000000
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.862500,0.642409, 0.959250,1.000000
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.860000,0.655015, 0.951000,1.000000
